participation_id,challenge_id,employee_id,progress_percent,proof_attached,approval_status,xp_awarded
1,17,19,32,False,Pending,0
2,13,4,83,False,Pending,0
3,4,12,1,True,Rejected,0
4,11,3,100,False,Approved,150
5,2,20,100,False,Approved,150
6,19,12,100,False,Approved,50
7,2,7,100,False,Approved,150
8,4,25,4,False,Pending,0
9,5,33,100,True,Approved,100
10,18,13,100,True,Approved,50
11,15,22,12,False,Pending,0
12,3,5,100,False,Approved,500
13,20,6,100,True,Approved,150
14,8,17,68,False,Pending,0
15,18,14,20,False,Pending,0
16,20,11,100,True,Approved,150
17,9,14,100,True,Approved,500
18,16,17,85,True,Rejected,0
19,11,22,100,False,Approved,150
20,9,28,39,True,Rejected,0
21,18,32,100,True,Approved,50
22,20,38,100,True,Approved,150
23,19,34,100,False,Approved,50
24,10,48,46,False,Pending,0
25,14,29,100,True,Approved,500
26,2,4,100,False,Approved,150
27,12,8,100,True,Approved,100
28,8,32,55,False,Rejected,0
29,11,2,54,False,Rejected,0
30,4,14,11,False,Pending,0
31,17,7,100,True,Approved,50
32,5,15,100,True,Approved,100
33,7,23,100,False,Approved,250
34,15,13,1,False,Pending,0
35,4,45,18,False,Pending,0
36,19,3,100,False,Approved,50
37,5,5,11,True,Rejected,0
38,1,26,100,False,Approved,50
39,9,21,64,True,Rejected,0
40,13,49,44,False,Pending,0
41,15,44,100,True,Approved,50
42,17,48,100,True,Approved,50
43,6,40,13,True,Rejected,0
44,12,37,100,True,Approved,100
45,8,50,100,False,Approved,100
46,20,28,100,True,Approved,150
47,7,1,100,False,Approved,250
48,14,13,100,True,Approved,500
49,6,6,100,True,Approved,500
50,8,32,61,False,Pending,0
51,20,24,100,True,Approved,150
52,10,10,100,False,Approved,150
53,2,32,100,False,Approved,150
54,6,8,79,False,Pending,0
55,15,49,100,True,Approved,50
56,13,2,100,False,Approved,150
57,12,12,100,True,Approved,100
58,13,27,100,False,Approved,150
59,16,17,100,True,Approved,250
60,5,39,100,True,Approved,100
61,5,36,60,False,Pending,0
62,5,13,27,False,Pending,0
63,5,15,66,False,Pending,0
64,19,50,45,False,Pending,0
65,16,1,31,False,Pending,0
66,10,36,24,False,Rejected,0
67,8,23,71,False,Pending,0
68,3,48,100,False,Approved,500
69,8,34,100,False,Approved,100
70,14,50,100,True,Approved,500
