transaction_id,department_id,source_type,emission_factor_id,quantity,unit,co2e_emitted_kg,date,auto_calculated
1,2,Fleet,5,382.4,passenger_km,57.36,2026-01-17,False
2,4,Expense,9,310.14,kg,179.88,2026-01-14,False
3,8,Manufacturing,6,259.0,passenger_km,28.49,2026-03-06,False
4,4,Fleet,4,462.16,therm,2454.07,2026-02-21,True
5,7,Fleet,7,214.15,tonne_km,21.42,2026-04-27,False
6,4,Fleet,2,45.55,liter,105.22,2026-04-16,True
7,5,Purchase,6,114.22,passenger_km,12.56,2026-05-27,True
8,6,Manufacturing,9,470.36,kg,272.81,2026-05-10,False
9,8,Manufacturing,4,442.59,therm,2350.15,2026-05-21,True
10,8,Manufacturing,1,205.15,liter,549.8,2026-06-19,True
11,7,Fleet,1,89.12,liter,238.84,2026-03-22,False
12,6,Expense,7,216.43,tonne_km,21.64,2026-03-10,True
13,1,Expense,7,363.85,tonne_km,36.39,2026-07-09,False
14,1,Fleet,5,225.82,passenger_km,33.87,2026-02-06,False
15,5,Purchase,5,263.54,passenger_km,39.53,2026-05-22,True
16,4,Purchase,2,492.69,liter,1138.11,2026-05-07,True
17,1,Manufacturing,2,140.13,liter,323.7,2026-01-18,False
18,7,Expense,6,380.33,passenger_km,41.84,2026-06-11,False
19,8,Expense,10,83.19,liter,125.62,2026-06-22,True
20,3,Fleet,6,146.74,passenger_km,16.14,2026-05-04,True
21,1,Purchase,7,141.77,tonne_km,14.18,2026-05-24,False
22,4,Purchase,9,51.03,kg,29.6,2026-06-07,False
23,8,Purchase,9,432.76,kg,251.0,2026-02-04,False
24,7,Expense,10,497.21,liter,750.79,2026-04-15,True
25,4,Purchase,4,31.17,therm,165.51,2026-04-12,True
26,3,Manufacturing,4,138.33,therm,734.53,2026-06-11,False
27,4,Expense,8,318.05,kg,298.97,2026-06-06,False
28,3,Expense,5,255.04,passenger_km,38.26,2026-06-10,False
29,5,Purchase,5,403.8,passenger_km,60.57,2026-04-26,True
30,4,Fleet,8,19.03,kg,17.89,2026-06-22,True
31,2,Fleet,3,467.97,kWh,196.55,2026-05-14,False
32,7,Expense,10,277.49,liter,419.01,2026-05-16,True
33,6,Manufacturing,4,491.4,therm,2609.33,2026-02-21,True
34,6,Purchase,3,208.3,kWh,87.49,2026-01-15,True
35,5,Fleet,5,16.99,passenger_km,2.55,2026-02-03,True
36,7,Expense,2,37.15,liter,85.82,2026-03-17,True
37,1,Fleet,1,349.42,liter,936.45,2026-01-29,True
38,8,Purchase,1,87.19,liter,233.67,2026-06-11,False
39,6,Expense,3,188.43,kWh,79.14,2026-04-22,True
40,5,Manufacturing,2,26.88,liter,62.09,2026-05-04,False
41,6,Fleet,6,99.65,passenger_km,10.96,2026-05-04,True
42,4,Manufacturing,6,242.58,passenger_km,26.68,2026-05-14,True
43,2,Manufacturing,10,54.52,liter,82.33,2026-04-09,False
44,7,Purchase,10,297.53,liter,449.27,2026-01-10,False
45,4,Purchase,10,159.08,liter,240.21,2026-06-04,True
46,7,Expense,8,332.2,kg,312.27,2026-05-26,False
47,3,Purchase,10,83.24,liter,125.69,2026-04-12,False
48,3,Purchase,5,369.59,passenger_km,55.44,2026-04-17,True
49,1,Manufacturing,5,51.69,passenger_km,7.75,2026-05-10,False
50,7,Fleet,4,480.16,therm,2549.65,2026-01-22,True
51,4,Fleet,5,317.61,passenger_km,47.64,2026-05-24,False
52,2,Purchase,4,11.62,therm,61.7,2026-02-25,True
53,8,Expense,2,375.41,liter,867.2,2026-01-23,True
54,4,Manufacturing,4,424.61,therm,2254.68,2026-02-27,True
55,8,Fleet,5,372.52,passenger_km,55.88,2026-05-23,False
56,5,Purchase,9,47.6,kg,27.61,2026-02-16,True
57,3,Expense,6,47.96,passenger_km,5.28,2026-05-25,False
58,5,Manufacturing,2,329.25,liter,760.57,2026-07-07,True
59,8,Expense,4,246.39,therm,1308.33,2026-04-10,True
60,8,Expense,2,349.17,liter,806.58,2026-03-21,False
61,8,Purchase,1,237.68,liter,636.98,2026-04-07,True
62,2,Fleet,8,162.72,kg,152.96,2026-05-15,True
63,2,Fleet,6,151.9,passenger_km,16.71,2026-05-30,False
64,4,Purchase,9,199.56,kg,115.74,2026-05-02,True
65,5,Expense,1,79.45,liter,212.93,2026-05-07,True
66,5,Purchase,3,305.65,kWh,128.37,2026-01-24,False
67,8,Fleet,7,123.38,tonne_km,12.34,2026-02-05,True
68,8,Fleet,4,87.94,therm,466.96,2026-02-25,False
69,3,Fleet,5,157.96,passenger_km,23.69,2026-05-26,False
70,2,Expense,10,194.29,liter,293.38,2026-03-06,True
71,6,Fleet,5,169.03,passenger_km,25.35,2026-04-23,True
72,4,Purchase,6,470.54,passenger_km,51.76,2026-01-12,False
73,2,Fleet,10,134.07,liter,202.45,2026-01-21,False
74,2,Expense,8,499.41,kg,469.45,2026-02-28,False
75,1,Expense,8,380.27,kg,357.45,2026-05-12,True
76,5,Manufacturing,10,35.29,liter,53.29,2026-05-16,True
77,7,Expense,10,485.81,liter,733.57,2026-05-13,True
78,7,Purchase,6,388.86,passenger_km,42.77,2026-03-04,False
79,4,Purchase,8,457.58,kg,430.13,2026-04-14,True
80,7,Fleet,2,467.4,liter,1079.69,2026-04-05,True
81,5,Fleet,3,325.8,kWh,136.84,2026-04-05,True
82,3,Manufacturing,4,456.83,therm,2425.77,2026-01-31,False
83,5,Expense,4,213.28,therm,1132.52,2026-06-22,False
84,5,Fleet,3,372.13,kWh,156.29,2026-02-15,True
85,7,Purchase,3,157.41,kWh,66.11,2026-07-07,True
86,2,Manufacturing,3,325.17,kWh,136.57,2026-06-30,False
87,8,Expense,1,279.69,liter,749.57,2026-01-13,False
88,4,Manufacturing,10,219.44,liter,331.35,2026-04-03,True
89,2,Expense,8,95.6,kg,89.86,2026-06-09,True
90,4,Purchase,3,190.47,kWh,80.0,2026-07-06,False
91,4,Fleet,3,197.59,kWh,82.99,2026-04-02,False
92,1,Fleet,10,175.72,liter,265.34,2026-02-28,False
93,6,Manufacturing,10,291.4,liter,440.01,2026-02-17,True
94,4,Fleet,4,55.37,therm,294.01,2026-07-02,False
95,7,Expense,7,326.44,tonne_km,32.64,2026-02-17,True
96,7,Fleet,9,72.35,kg,41.96,2026-04-26,False
97,7,Fleet,3,10.09,kWh,4.24,2026-02-04,False
98,2,Manufacturing,5,131.75,passenger_km,19.76,2026-04-15,True
99,2,Fleet,10,84.51,liter,127.61,2026-07-03,True
100,1,Purchase,1,280.24,liter,751.04,2026-02-03,True
