participation_id,employee_id,activity_id,proof_attached,approval_status,points_earned,completion_date
1,45,15,True,Approved,83,2026-04-28
2,4,10,True,Pending,0,
3,14,7,True,Approved,34,2026-06-10
4,31,15,True,Pending,0,
5,22,12,True,Approved,127,2026-05-29
6,13,2,True,Pending,0,
7,37,15,True,Approved,114,2026-05-24
8,27,7,True,Approved,28,2026-05-09
9,27,15,True,Approved,127,2026-06-16
10,43,8,True,Approved,121,2026-06-27
11,15,8,False,Pending,0,
12,13,10,True,Approved,149,2026-07-10
13,44,4,True,Pending,0,
14,39,4,True,Approved,69,2026-05-21
15,16,1,True,Approved,76,2026-04-21
16,20,14,True,Approved,95,2026-04-18
17,39,13,False,Pending,0,
18,29,1,True,Approved,77,2026-04-18
19,3,6,True,Approved,34,2026-05-19
20,7,5,True,Rejected,0,
21,17,6,True,Pending,0,
22,23,12,True,Approved,56,2026-07-01
23,46,3,True,Approved,35,2026-06-01
24,8,4,True,Pending,0,
25,15,9,True,Approved,100,2026-06-19
26,42,12,True,Approved,40,2026-05-15
27,25,7,True,Rejected,0,
28,23,1,True,Approved,67,2026-06-20
29,33,6,True,Approved,139,2026-05-09
30,30,3,False,Pending,0,
31,43,13,True,Approved,115,2026-06-23
32,16,7,True,Rejected,0,
33,33,10,True,Approved,47,2026-04-19
34,27,13,True,Pending,0,
35,39,6,True,Approved,51,2026-06-14
36,20,4,True,Approved,73,2026-04-29
37,26,8,True,Approved,99,2026-05-30
38,50,3,True,Approved,130,2026-05-22
39,34,14,False,Pending,0,
40,1,12,False,Pending,0,
41,31,5,True,Approved,102,2026-05-10
42,8,3,True,Approved,141,2026-06-17
43,12,6,True,Pending,0,
44,19,3,True,Approved,123,2026-05-24
45,19,4,True,Pending,0,
46,33,12,False,Pending,0,
47,26,4,True,Approved,36,2026-06-08
48,9,11,True,Approved,106,2026-05-03
49,28,14,True,Approved,105,2026-06-07
50,45,6,True,Rejected,0,
51,2,1,True,Approved,87,2026-05-18
52,14,14,True,Approved,101,2026-05-15
53,12,1,True,Rejected,0,
54,14,7,True,Approved,36,2026-05-23
55,36,9,True,Pending,0,
56,41,2,True,Approved,139,2026-06-23
57,20,5,True,Rejected,0,
58,43,12,True,Approved,84,2026-04-16
59,36,10,True,Rejected,0,
60,8,1,True,Approved,53,2026-04-28
