ack_id,employee_id,policy_id,acknowledged_date
1,1,2,2026-06-18
2,1,1,2026-03-16
3,1,6,2026-06-03
4,2,4,2025-09-10
5,3,4,2026-04-24
6,3,6,2025-08-22
7,3,3,2026-01-21
8,3,2,2026-02-28
9,4,4,2025-11-19
10,4,7,2026-05-26
11,4,1,2026-01-30
12,4,2,2026-02-08
13,4,3,2026-05-30
14,5,4,2025-08-18
15,5,6,2026-07-09
16,5,3,2026-02-26
17,5,5,2025-12-02
18,6,6,2026-04-28
19,6,3,2025-10-15
20,6,4,2026-07-08
21,6,2,2026-02-07
22,6,1,2025-11-19
23,7,1,2026-04-16
24,7,2,2025-12-19
25,7,6,2025-09-13
26,7,4,2026-04-09
27,7,5,2025-07-28
28,7,3,2026-05-07
29,7,7,2025-10-11
30,8,7,2026-03-01
31,8,6,2026-07-06
32,8,5,2026-02-10
33,8,2,2026-03-10
34,8,1,2025-11-02
35,8,4,2025-07-11
36,9,1,2025-07-23
37,9,4,2025-09-03
38,9,2,2026-02-21
39,9,3,2025-12-16
40,9,5,2026-01-14
41,9,6,2026-06-03
42,9,7,2025-08-28
43,10,3,2025-10-02
44,10,2,2026-03-07
45,10,1,2025-07-19
46,11,1,2025-07-11
47,11,7,2025-11-17
48,11,6,2025-08-18
49,11,4,2025-11-18
50,11,5,2025-10-01
51,11,2,2026-02-09
52,12,2,2026-02-11
53,12,4,2025-09-23
54,12,3,2026-02-24
55,12,7,2025-12-31
56,13,5,2025-08-29
57,13,7,2026-06-18
58,13,6,2025-10-08
59,14,6,2025-09-03
60,14,3,2025-08-15
61,14,5,2026-03-01
62,14,2,2026-05-25
63,14,1,2026-04-23
64,15,2,2025-12-05
65,15,3,2025-10-15
66,16,4,2025-07-15
67,16,6,2026-03-04
68,16,5,2026-02-01
69,16,2,2025-11-16
70,17,7,2026-03-04
71,17,2,2025-12-20
72,17,4,2026-06-18
73,17,6,2026-04-05
74,18,5,2025-10-09
75,18,3,2026-06-06
76,18,7,2025-07-27
77,18,1,2026-01-21
78,18,2,2025-12-06
79,18,6,2025-10-05
80,19,7,2025-08-01
81,19,3,2026-04-22
82,19,2,2025-07-15
83,20,2,2026-01-28
84,20,3,2026-06-20
85,20,7,2025-09-01
86,20,5,2025-09-22
87,21,6,2026-02-18
88,21,5,2026-01-12
89,21,1,2026-03-02
90,21,4,2026-05-04
91,21,2,2025-09-12
92,22,6,2025-11-01
93,22,5,2025-10-28
94,22,7,2025-07-28
95,22,1,2026-06-01
96,23,3,2026-04-23
97,23,1,2026-03-29
98,24,5,2025-07-13
99,25,1,2026-05-16
100,26,3,2026-04-09
101,26,4,2025-12-28
102,26,5,2026-04-08
103,26,7,2025-12-23
104,26,1,2025-10-01
105,27,3,2025-08-18
106,27,7,2025-10-04
107,27,1,2025-07-25
108,27,2,2025-11-10
109,28,3,2026-04-11
110,28,5,2026-03-22
111,28,1,2026-05-16
112,28,2,2026-03-28
113,29,2,2025-10-16
114,29,5,2026-01-29
115,30,3,2025-12-17
116,30,2,2026-04-25
117,30,5,2026-01-18
118,30,1,2025-10-16
119,31,3,2026-03-02
120,31,6,2026-06-29
121,31,1,2025-09-28
122,31,2,2026-05-29
123,31,4,2025-07-16
124,31,5,2025-10-14
125,31,7,2025-10-05
126,32,3,2026-04-09
127,32,5,2026-06-21
128,32,6,2026-04-10
129,32,7,2025-11-07
130,32,4,2026-05-29
131,33,7,2025-11-08
132,33,5,2025-10-06
133,33,3,2026-06-08
134,33,4,2026-02-26
135,33,6,2026-03-21
136,33,2,2026-03-11
137,33,1,2026-07-04
138,34,2,2025-12-29
139,34,6,2026-05-14
140,34,5,2026-03-23
141,34,4,2026-05-20
142,34,1,2025-12-18
143,34,7,2026-04-02
144,34,3,2026-02-04
145,35,3,2025-10-31
146,35,1,2025-09-26
147,35,5,2026-02-23
148,35,4,2025-08-08
149,36,7,2026-06-09
150,36,4,2025-09-01
151,36,2,2025-07-20
152,36,3,2025-08-19
153,36,6,2026-06-15
154,36,1,2025-11-14
155,36,5,2025-08-31
156,37,4,2025-07-21
157,37,2,2025-07-26
158,38,7,2026-03-21
159,38,2,2026-02-27
160,38,1,2026-03-23
161,38,5,2026-04-06
162,38,3,2025-08-04
163,38,6,2026-02-12
164,38,4,2025-11-21
165,39,1,2026-05-06
166,39,7,2026-05-06
167,39,4,2026-06-02
168,39,5,2025-08-04
169,40,3,2026-05-24
170,40,5,2026-06-10
171,40,7,2026-06-21
172,40,6,2025-08-19
173,41,1,2025-09-24
174,42,1,2025-08-20
175,43,1,2025-07-23
176,43,6,2026-05-17
177,44,1,2026-05-04
178,44,5,2026-02-28
179,44,4,2026-05-08
180,45,5,2026-02-27
181,45,3,2025-10-24
182,45,1,2025-08-16
183,45,4,2025-08-15
184,46,7,2026-04-14
185,46,1,2025-09-24
186,46,4,2025-11-04
187,47,5,2025-12-13
188,48,6,2025-07-18
189,48,5,2025-10-12
190,48,2,2025-10-22
191,48,7,2026-03-29
192,48,3,2025-11-22
193,48,1,2025-11-05
194,48,4,2026-06-28
195,49,5,2026-01-11
196,49,6,2026-05-18
197,49,1,2026-02-22
198,49,2,2025-07-22
199,50,1,2025-12-09
200,50,2,2025-12-17
201,50,7,2026-04-19
202,50,3,2025-11-14
203,50,5,2026-03-25
